$$	Titre	Famille documentaire	Nature documentaire	Nature documentaire libellé	Projet	Opération	Site DPIH	Requis	Unité	Code Centrale	Code Projet	Niveau d'études	Découpage - lot	Système élémentaire 	Complément	Numéro Chrono	Codification	Type MSH	RT	Format demandé	Stockage	Rédaction	Temps estimé (h)	Reste à faire	Fourniture	Date cible	Observations 	Livr. Exploitant	Date Exploitant	Format Exploitant	Stockage Exploitant	Livr. MCO	Date MCO	Format MCO	Stockage MCO	Livr. Intégrateur	Date Intégrateur	Format Intégrateur	Stockage Intégrateur	Livr. DTG	Date DTG	Format DTG	Stockage DTG	Livr. Tableautier	Date Tableautier	Format Tableautier	Stockage Tableautier
$$	Plan d'implantation des matèriels BT	Déploiement	8f392b19-9421-467e-be75-e5ab84e2133d	DEPLOIEMENT / C- Conception / C3  Plans, schémas, listings	MSH	MSH - Roche au moine	Roche-au-Moine [R.MOIH]	True	IH	RMOIH	MSHD	D	050	LBT		100003	IH-RMOIH-MSHD-D-050-LBT-100 003	IM	T	Autocad		IE	0		M05			True	M14	Autocad	Papier	False				True	M07	Autocad	Papier	False				False			
$$	Liste des consommateurs	Déploiement	8f392b19-9421-467e-be75-e5ab84e2133d	DEPLOIEMENT / C- Conception / C3  Plans, schémas, listings	MSH	MSH - Roche au moine	Roche-au-Moine [R.MOIH]	True	IH	RMOIH	MSHD	D	050	LBT		100004	IH-RMOIH-MSHD-D-050-LBT-100 004	LE	T	Excel - A4		IE	0		M05			True	M14	Excel - A4	Numérique	False				True	M07	Excel - A4	Numérique	False				False			
$$	[Eventuellement] dimensionnement du GE	Déploiement	8f392b19-9421-467e-be75-e5ab84e2133d	DEPLOIEMENT / C- Conception / C3  Plans, schémas, listings	MSH	MSH - Roche au moine	Roche-au-Moine [R.MOIH]	True	IH	RMOIH	MSHD	D	050	LBT		100005	IH-RMOIH-MSHD-D-050-LBT-100 005	NT	T	Word - A4		IE	0		M05			True		Word - A4		False				True	M07	Word - A4		False				False			
$$	Carnet de câbles existants	Déploiement	8f392b19-9421-467e-be75-e5ab84e2133d	DEPLOIEMENT / C- Conception / C3  Plans, schémas, listings	MSH	MSH - Roche au moine	Roche-au-Moine [R.MOIH]	True	IH	RMOIH	MSHD	D	050	*		100001	IH-RMOIH-MSHD-D-050-*-100 001	LE	T	Excel - A4		IE	0		M05			True		Excel - A4		False				True	M07	Excel - A4		False				False			
$$	Liste des capteurs SG	Déploiement	8f392b19-9421-467e-be75-e5ab84e2133d	DEPLOIEMENT / C- Conception / C3  Plans, schémas, listings	MSH	MSH - Roche au moine	Roche-au-Moine [R.MOIH]	True	IH	RMOIH	MSHD	D	050	*		100002	IH-RMOIH-MSHD-D-050-*-100 002	LE	T	Excel - A4		IE	0		M05			True		Excel - A4		False				True	M07	Excel - A4		False				False			
$$	Liste des alarmes	Déploiement	8f392b19-9421-467e-be75-e5ab84e2133d	DEPLOIEMENT / C- Conception / C3  Plans, schémas, listings	MSH	MSH - Roche au moine	Roche-au-Moine [R.MOIH]	True	IH	RMOIH	MSHD	D	000	*		100001	IH-RMOIH-MSHD-D-000-*-100 001	LE	T	Excel - A4		IE	0		M05			True		Excel - A4		False				True	M07	Excel - A4		False				False			
$$	Liste des capteurs des groupes	Déploiement	8f392b19-9421-467e-be75-e5ab84e2133d	DEPLOIEMENT / C- Conception / C3  Plans, schémas, listings	MSH	MSH - Roche au moine	Roche-au-Moine [R.MOIH]	True	IH	RMOIH	MSHD	D	001	*		100001	IH-RMOIH-MSHD-D-001-*-100 001	LE	T	Excel - A4		IE	0		M05			True		Excel - A4		False				True	M07	Excel - A4		False				False			
$$	Plan de régulation	Déploiement	8f392b19-9421-467e-be75-e5ab84e2133d	DEPLOIEMENT / C- Conception / C3  Plans, schémas, listings	MSH	MSH - Roche au moine	Roche-au-Moine [R.MOIH]	True	IH	RMOIH	MSHD	D	001	KRN		100001	IH-RMOIH-MSHD-D-001-KRN-100 001		T	Autocad		IE	0		M05			True		Autocad		False				True	M07	Autocad		False				False			
$$	Plan de réfrigération	Déploiement	8f392b19-9421-467e-be75-e5ab84e2133d	DEPLOIEMENT / C- Conception / C3  Plans, schémas, listings	MSH	MSH - Roche au moine	Roche-au-Moine [R.MOIH]	True	IH	RMOIH	MSHD	D	001	*		100002	IH-RMOIH-MSHD-D-001-*-100 002		T	Autocad		IE	0		M05			True		Autocad		False				True	M07	Autocad		False				False			
$$	 Liste non exhaustive des ES des groupes	Déploiement	8f392b19-9421-467e-be75-e5ab84e2133d	DEPLOIEMENT / C- Conception / C3  Plans, schémas, listings	MSH	MSH - Roche au moine	Roche-au-Moine [R.MOIH]	True	IH	RMOIH	MSHD	D	001	KAP		100002	IH-RMOIH-MSHD-D-001-KAP-100 002	ES	T	Excel - A4		IE	0		M05			True		Excel - A4		False				True	M07	Excel - A4		False				False			
$$	Schéma des circuits et instrumentation	Déploiement	8f392b19-9421-467e-be75-e5ab84e2133d	DEPLOIEMENT / C- Conception / C3  Plans, schémas, listings	MSH	MSH - Roche au moine	Roche-au-Moine [R.MOIH]	True	IH	RMOIH	MSHD	D	050	*		100003	IH-RMOIH-MSHD-D-050-*-100 003	SF	T	Autocad		IE	0		M05			True	M14	Autocad	Numérique	True	M14	PDF - A4	Numérique	True	M07	Autocad	Numérique	False				False			
$$	Liste des livrables du Titulaire	Déploiement	8f392b19-9421-467e-be75-e5ab84e2133d	DEPLOIEMENT / C- Conception / C3  Plans, schémas, listings	MSH	MSH - Roche au moine	Roche-au-Moine [R.MOIH]	True	IH	RMOIH	MSHD	C	*		*	000005	IH-RMOIH-MSHD-C-*-*-000 005		R	Excel - A4	Rédacteur+ GED	IE	0		M06			True		Excel - A4		False				True	M07	Excel - A4		False				False			
$$	Liste des documents d'entrée du Titulaire	Déploiement	8f392b19-9421-467e-be75-e5ab84e2133d	DEPLOIEMENT / C- Conception / C3  Plans, schémas, listings	MSH	MSH - Roche au moine	Roche-au-Moine [R.MOIH]	True	IH	RMOIH	MSHD	C	*		*	000006	IH-RMOIH-MSHD-C-*-*-000 006		R	Excel - A4	Rédacteur+ GED	IE	0		M06			True		Excel - A4		False				True	M07	Excel - A4		False				False			
